G1 X0.0000 Y0.0000
X-3.9278 Y-4.8960
X-3.9573 Y-4.9460
X-3.9764 Y-4.9960
X-3.9374 Y-5.0460
X-3.9170 Y-5.0960
X-3.8974 Y-5.1460
X-3.8786 Y-5.1960
X-3.8780 Y-5.2460
X-3.8782 Y-5.2960
X-3.8786 Y-5.3460
X-3.8978 Y-5.3960
X-3.9077 Y-5.4460
X-3.9179 Y-5.4960
X-3.9279 Y-5.5460
X-3.9473 Y-5.5960
X-3.9574 Y-5.6460
X-3.9766 Y-5.6960
X-3.9869 Y-5.7460
X-4.0061 Y-5.7960
X-4.0161 Y-5.8460
X-4.0262 Y-5.8960
X-4.0455 Y-5.9460
X-4.0554 Y-5.9960
X-4.0654 Y-6.0460
X-4.0849 Y-6.0960
X-4.0949 Y-6.1460
X-4.1144 Y-6.1960
X-4.1242 Y-6.2460
X-4.1343 Y-6.2960
X-4.1537 Y-6.3460
X-4.1638 Y-6.3960
X-4.1737 Y-6.4460
X-4.1931 Y-6.4960
X-4.2032 Y-6.5460
X-4.2131 Y-6.5960
X-4.2325 Y-6.6460
X-4.2424 Y-6.6960
X-4.2524 Y-6.7460
X-4.2719 Y-6.7960
X-4.2819 Y-6.8460
X-4.2918 Y-6.8960
X-4.3113 Y-6.9460
X-4.3213 Y-6.9960
X-4.3313 Y-7.0460
X-4.3508 Y-7.0960
X-4.3609 Y-7.1460
X-4.3802 Y-7.1960
X-4.3902 Y-7.2460
X-4.4095 Y-7.2960
X-4.4195 Y-7.3460
X-4.4294 Y-7.3960
X-4.4396 Y-7.4460
X-4.4589 Y-7.4960
X-4.4689 Y-7.5460
X-4.4792 Y-7.5960
X-4.4982 Y-7.6460
X-4.5083 Y-7.6960
X-4.5183 Y-7.7460
X-4.5184 Y-7.7960
X-4.4889 Y-7.8460
X-4.5184 Y-7.8960
X-4.5184 Y-7.9460
X-4.5183 Y-7.9960
X-4.5184 Y-8.0460
X-4.5184 Y-8.0960
X-4.5676 Y-8.1460
X-4.6459 Y-8.1960
X-4.6559 Y-8.2460
X-4.6658 Y-8.2960
X-4.6853 Y-8.3460
X-4.6660 Y-8.3960
X-4.7148 Y-8.4460
X-4.7152 Y-8.4960
X-4.7152 Y-8.5460
X-4.7542 Y-8.5960
X-4.7642 Y-8.6460
X-4.7837 Y-8.6960
X-4.7644 Y-8.7460
X-4.8036 Y-8.7960
X-4.8135 Y-8.8460
X-4.8233 Y-8.8960
X-4.8233 Y-8.9460
X-4.8325 Y-8.9960
X-4.8134 Y-9.0460
X-4.7841 Y-9.0960
X-4.7445 Y-9.1460
X-4.6857 Y-9.1960
X-4.6361 Y-9.2460
X-4.6068 Y-9.2960
X-4.5969 Y-9.3460
X-4.5967 Y-9.3960
X-4.5971 Y-9.4460
